username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MartinLitwak;2019-02-22 07:01;6;11;"En el día de ayer hemos por subscripto la declaración # LatinoamericanosPorVenezuela que apoya el ingreso de # AyudaHumantaria a # Venezuela el # 23F. Muy agradecido con @ irmaar y @ NPSGlobal por invitarme a participar! pic.twitter.com/BgSIfLM64g";;@ @;# # # #;"1098915717339062272";https://twitter.com/MartinLitwak/status/1098915717339062272
Tabad__;2019-02-22 06:59;0;1;"EXCELENTE!!! Despues del concierto, ellos se van a quedar en # Cucuta pasando la noche en las tiendas de campaña que estan colocadas (con bebidas y comida) para acompañar mañana # 23F a los demás voluntarios a # Venezuela llevando la # AyudaHumanitaria";;;# # # #;"1098915209308262400";https://twitter.com/Tabad__/status/1098915209308262400
ENGGLOBALMARKET;2019-02-22 06:57;0;0;"# cuba # miami # florida # despiertacuba # havana # lahabana Cuban disguised with uniform of venezuela regime national guard receives a beating and captured. # venezuela # 23f https://www.facebook.com/100001604090192/posts/2239093706154077/ …";;;# # # # # # # #;"1098914719233179650";https://twitter.com/ENGGLOBALMARKET/status/1098914719233179650
Jonathanrodrig;2019-02-22 06:55;0;0;". 1 # ceselausurpacion . 2 # gobiernodetransicion . 3 # eleccioneslibres . . . # venezuela # venezolanos # vzla # venezolanosenargentina # vzlanos # venezolanosporelmundo # asambleanacional # sosvenezuela # venezuelalibre # juanguaido # noticias # presidente # hoy # oscarperez # 23f pic.twitter.com/PnXALMTlyU";;;# # # # # # # # # # # # # # # # # #;"1098914056029814784";https://twitter.com/Jonathanrodrig/status/1098914056029814784
gabrielfidel;2019-02-22 06:50;9;24;"En Mendoza y toda América Latina los venezolanos nos cuentan la # CrisisHumanitaria que viven sus familias. La decisión de no dejar ingresar la ayuda humanitaria es un acto cruel y egoísta y es no pensar en lo que está sufriendo el pueblo hermano # AyudaHumanitaria # Venezuela # 23F pic.twitter.com/Af8h4CGIDh";;;# # # #;"1098912929917874176";https://twitter.com/gabrielfidel/status/1098912929917874176
Venezolanonews;2019-02-22 06:44;2;0;"Lester Toledo: ayuda humanitaria entrará a Venezuela desde cuatro puntos el # 23F - http://bit.ly/2GIo5td # EVNews # Venezuela # AyudaHumanitaria";;;# # # #;"1098911278729388032";https://twitter.com/Venezolanonews/status/1098911278729388032
irmaar;2019-02-22 06:43;15;24;"Gracias a los diputados argentinos . @ elisacarrio @ KBanfi @ mgwechsler @ pau_oliveto @ WolffWaldo @ CorneliaSL y al diputado del Uruguay @ rodrigogoni por suscribir la declaración # LatinoamericanosPorVenezuela que apoya el ingreso de # AyudaHumantaria a # Venezuela el # 23F @ NPSGlobalpic.twitter.com/PxP0C82HZq";;@ @ @ @ @ @ @ @;# # # #;"1098911166322098176";https://twitter.com/irmaar/status/1098911166322098176
TuConsultaOn;2019-02-22 06:40;0;0;"En tu consulta OnLine, solidarios con nuestro país # Venezuela, estamos comprometidos con el bienestar mental-emocional-espiritual de quienes han salido de su hogar para sobrevivir y ayudar a sus familias. # AvalanchaHumanitaria # 23F # AyudaVenezuela # EllasMigran # RescateVenezuelapic.twitter.com/KVDn53fZMJ";;;# # # # # #;"1098910462249447424";https://twitter.com/TuConsultaOn/status/1098910462249447424
LM_Enrman;2019-02-22 06:23;1;2;"No creas no vas a la cárcel. MMGVO! Tu eres uno de los principales responsables de la situación en # Venezuela ¡Denunciemos a este DELINCUENTE! # 23F # 23FAyudaHumanitaria";;;# # #;"1098906065306046469";https://twitter.com/LM_Enrman/status/1098906065306046469
WinsmarbelD;2019-02-22 06:23;0;0;"La esperanza volvió para más nunca irse. # 22F # 23F # Venezuela # VamosBien";;;# # # #;"1098906024646340608";https://twitter.com/WinsmarbelD/status/1098906024646340608
beerAndGin;2019-02-22 06:17;0;0;"# AyudaHumanitaria # VenezuelaAidLive # 23FVzlaALaCalle # 23FNoHayVueltaAtras # 23FAvalanchaHumanitaria # Venezuela # Venezuela23F # CIDH # OEA # DDHH # Boligan # 23F # VenezuelaLibre # FANB # Latinoaméricapic.twitter.com/zTeDYvX3QJ";;;# # # # # # # # # # # # # # #;"1098904631386738690";https://twitter.com/beerAndGin/status/1098904631386738690
