,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,retweet,clean_text,language,sentiment
21,TrendsVenezuela,2016-06-09 16:49,0,0,# elllanito es ahora una tendencia en Venezuela http://trendsmap.com/ve,,,#,7.410093607557734e+17,https://twitter.com/TrendsVenezuela/status/741009360755773440,# elllanito es ahora una tendencia en Venezuela http://trendsmap.com/ve, es ahora una tendencia en Venezuela ,es,0.48804157972335815
22,rafaurdant,2016-06-09 16:46,2,0,4:21pm # ElLlanito # 9Jun reportan saqueos # Caracas Vía: @ aarondiazvepic.twitter.com/NcR9F1YFch,,@,# # #,7.410085757750272e+17,https://twitter.com/rafaurdant/status/741008575775027200,4:21pm # ElLlanito # 9Jun reportan saqueos # Caracas Vía: @ aarondiazvepic.twitter.com/NcR9F1YFch,4 21pm   reportan saqueos  Vía  ,es,0.6310745477676392
23,Gabyucevista,2016-06-09 16:45,3,0,via @Diasjon03: # 9Junio - 4:10p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/KJKPObQSyJ,,@Diasjon03,# # #,7.41008451992703e+17,https://twitter.com/Gabyucevista/status/741008451992702980,via @Diasjon03: # 9Junio - 4:10p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/KJKPObQSyJ,via      4 10p m  Intento de saqueo en av  Tamanaco de    Camión proveniente de ,es,0.4216997027397156
24,SoyVnezolano,2016-06-09 16:44,45,4,Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petare 4:10pm # 9Junpic.twitter.com/Yla7yPXeRv,,,# # #,7.410079780615414e+17,https://twitter.com/SoyVnezolano/status/741007978061541377,Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petare 4:10pm # 9Junpic.twitter.com/Yla7yPXeRv,Intento de saqueo en av  Tamanaco de    Camión proveniente de  4 10pm ,es,0.3552793860435486
25,710CAPiTAL,2016-06-09 16:42,8,1,RT @diasjon03: 9/06/2016- 4:10 p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/IYtSAMh73t,,@diasjon03,# #,7.410076352862167e+17,https://twitter.com/710CAPiTAL/status/741007635286216705,RT @diasjon03: 9/06/2016- 4:10 p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/IYtSAMh73t,RT   9 06 2016  4 10 p m  Intento de saqueo en av  Tamanaco de    Camión proveniente de ,es,0.34509050846099854
26,fer_caracas,2016-06-09 16:42,0,0,RT @diasjon03: 9/06/2016- 4:10 p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/97C4e02bQI,,@diasjon03,# #,7.410076179552379e+17,https://twitter.com/fer_caracas/status/741007617955237888,RT @diasjon03: 9/06/2016- 4:10 p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/97C4e02bQI,RT   9 06 2016  4 10 p m  Intento de saqueo en av  Tamanaco de    Camión proveniente de ,es,0.34509050846099854
27,barlovinfo,2016-06-09 16:42,1,0,RT @diasjon03: 9/06/2016- 4:10 p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/W7tSjPpKty,,@diasjon03,# #,7.410076175484191e+17,https://twitter.com/barlovinfo/status/741007617548419072,RT @diasjon03: 9/06/2016- 4:10 p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/W7tSjPpKty,RT   9 06 2016  4 10 p m  Intento de saqueo en av  Tamanaco de    Camión proveniente de ,es,0.34509050846099854
28,LiceoMilitarAya,2016-06-09 16:42,0,0,RT @diasjon03: 9/06/2016- 4:10 p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/t5Mrl1wdcS,,@diasjon03,# #,7.410076171373814e+17,https://twitter.com/LiceoMilitarAya/status/741007617137381376,RT @diasjon03: 9/06/2016- 4:10 p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/t5Mrl1wdcS,RT   9 06 2016  4 10 p m  Intento de saqueo en av  Tamanaco de    Camión proveniente de ,es,0.34509050846099854
29,Caracas_Noreste,2016-06-09 16:42,7,0,RT @diasjon03: 9/06/2016- 4:10 p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/236OBZNtEs,,@diasjon03,# #,7.410076166801695e+17,https://twitter.com/Caracas_Noreste/status/741007616680169472,RT @diasjon03: 9/06/2016- 4:10 p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/236OBZNtEs,RT   9 06 2016  4 10 p m  Intento de saqueo en av  Tamanaco de    Camión proveniente de ,es,0.34509050846099854
30,ECastejonL,2016-06-09 16:38,0,0,Retweeted Jonathan Dias (@Diasjon03): 9/06/2016- 4:10 p.m. Intento de saqueo en av. Tamanaco de # ElLlanito /... http://fb.me/5cEw2Zz6Y,,@Diasjon03,#,7.410065490368594e+17,https://twitter.com/ECastejonL/status/741006549036859392, 9/06/2016- 4:10 p.m. Intento de saqueo en av. Tamanaco de # ElLlanito /... http://fb.me/5cEw2Zz6Y, 9 06 2016  4 10 p m  Intento de saqueo en av  Tamanaco de       ,es,0.32933980226516724
